commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
KEZb4,A-NA-NU-SI-JA-SE,1,0,1,1,KEZb4.html,"3 TIMES: HT ZB 159 (A-NA-NU-SI-JA-SE[), HT 28A.1 & B.1-2"
KH11,A-DU,1,0,1,1,KH11.html, NUMBER FRACTION .1 A-DU-[•]-ZA *303 K .2 SU
KH13,A-SE-RE-ZA,1,1,1,1,KH13.html,UTILA .1 ] 2 J[ .2 ]A-SE-RE-ZA[ .3 ] E L2 .3 *304[
KH13,DA-I,1,1,1,1,KH13.html,B[ .4 ] VEST. [ .4 ]DA-I[ .5 ] 3 INFRA MUTIL
KH16,U-TA-I-SI,1,1,0,1,KH16.html,2 .1 *303 K L2[ .2 ]U-TA-I-SI *303+D {*624} [ .3 
KH18,I-KU-PI,1,0,1,1,KH18.html,][ {*649} .2 ] 5 .2 I-KU-PI[ .3 ] VINC 1 .3 KU 
KH20,DU-RE-ZA,1,1,0,1,KH20.html,ACAT [ ] VACAT .4 ] DU-RE-ZA • *303+E {*626} J .
KH21,*306-QE-DU,1,0,1,1,KH21.html, .2 ]D .2 FIC 2[ .3 *306-QE-DU [
KH23,A-DU,1,0,1,1,KH23.html, NUMBER FRACTION .1 A-DU[ .2 ]*303+[ ][ INFR
KH29,KU-PA,1,0,1,1,KH29.html, • TA 2 [ .2 ] 1 .2 KU-PA [ .3 ] 2 .3 *303 J 
KH39,A-TA,1,0,1,1,KH39.html, NUMBER FRACTION .1 A-TA-[ .2 ] OLE+TA {*615
KH4,A-DU-RE,1,0,1,1,KH4.html, NUMBER FRACTION .1 A-DU-RE[ .2 ]*306 4 .2 *303
KH40,SI-NA,1,1,1,1,KH40.html,TION SUPRA MUTILA ] SI-NA-[ INFRA MUTILA
KH41,KA-TA-RE,1,1,1,1,KH41.html,RACTION .1 ] 3 .2 ] KA-TA-RE[ INFRA MUTILA
KH47,QA-NE,1,1,1,1,KH47.html,N SUPRA MUTILA .1 ] QA-NE [ .2 ] 6 .2 SI[ .3 
KH51,SI-I-SI,1,1,0,1,KH51.html,UMBER FRACTION .1 ] SI-I-SI 3 .2 ] 4 .2 TU[ INF
KH52,TA-U,1,1,1,1,KH52.html,LA .1 ] VEST. [ .2 ]TA-U-[ INFRA MUTILA
KH53,A-ME-*123,1,1,0,1,KH53.html,UMBER FRACTION .1 ] A-ME-*123 • .1 NE[ INFRA MUTI
KH58,A-*301,1,0,1,1,KH58.html,.5 ] *303 +[ ] J .5 A-*301[
KH59,DI-NA,1,1,0,1,KH59.html,1 ] 1 .2 ]-I 5 .3 ]-DI-NA 5 INFRA MUTILA
KH6,DI-SI,1,0,1,1,KH6.html,]*303+D {*624} J .1 DI-SI-[ .2 ]-TE-NU-RE[ .3
KH6,KI-SA-NE,1,1,0,1,KH6.html, .2 ]-TE-NU-RE[ .3 ]KI-SA-NE *303 + D {*624} J .
KH6,PI-SA,1,0,1,1,KH6.html,303+D {*624} J .6-7 PI-SA[ ]*303+D {*624} J .
KH6,TE-NU-RE,1,1,1,1,KH6.html,} J .1 DI-SI-[ .2 ]-TE-NU-RE[ .3 ]KI-SA-NE *303 
KH60,RA-KI-TA-NA-SI,1,1,1,1,KH60.html,"MBER ""FRACTION"" .1 ]RA-KI-TA-NA-SI[ .2 ]*131C W .2 TA "
KH7,KO-E,1,1,0,1,KH7.html,*305 • A.4-5 KU-[•]-KO-E VIR+*313B {*571} [ 
KH7,PA-NA-TU,1,1,0,1,KH7.html,D {*624} J[ B.2-3 ] PA-NA-TU *303+D {*624} J B.3
KH74,JA-DA-SU,1,0,1,1,KH74.html, FRACTION .1 ]-SI • JA-DA-SU[ .2 ] SI-*301-MI {*
KH74,SI-*301-MI,1,1,0,1,KH74.html,SI • JA-DA-SU[ .2 ] SI-*301-MI {*605} INFRA MUTILA
KH79+89,A-RA,1,0,1,1,KH79+89.html,]MI-NA[ .2 ]PA-TA • A-RA-[ .3 ]-PA-DA-NI .4 
KH79+89,MI-NA,1,1,1,1,KH79+89.html,.LINE STATEMENT .1 ]MI-NA[ .2 ]PA-TA • A-RA-[
KH79+89,PA-DA-NI,1,1,0,1,KH79+89.html,PA-TA • A-RA-[ .3 ]-PA-DA-NI .4 VACAT INFRA MUTI
KH79+89,PA-TA,1,1,0,1,KH79+89.html,MENT .1 ]MI-NA[ .2 ]PA-TA • A-RA-[ .3 ]-PA-DA
KH83,A-DI-NE,1,0,1,1,KH83.html, FRACTION .1 ] • .1 A-DI-NE[ .2 ]* 401 VAS+ A {
KH86,PI-NU,1,0,1,1,KH86.html, ]*303+[ ] A B B .2 PI-NU-[ .3 ] 3 [ .3 *303+
KH86,RE-ZA,1,1,0,1,KH86.html,UMBER FRACTION .1 ] RE-ZA *303[ .2 ]*303+[ ] 
KH9,I-SI,1,1,0,1,KH9.html, FIC E B .2 MI[ .3 ]I-SI • *303+D {*624} J[ 
KH90,MA-TA-RI-TA,1,1,1,1,KH90.html,LA .1 ][•]-JA[ .2 ] MA-TA-RI-TA [ .3 ] VEST. [ INFR
KH92,NA-KI,1,1,0,1,KH92.html,1 KU-NI-TE 10 [ .2 ]NA-KI 1 VEST. [ INFRA MUT
KH97,A-JA,1,0,1,1,KH97.html,ER FRACTION .A1 ]RE A-JA [ .A2 ] NA [ INFRA 
KH97,SE-I,1,1,1,1,KH97.html, INFRA MUTILA .B1 ]-SE-I[ .B2 ] VESTIGIA [ I
KH99,A-SI-*118,1,1,0,1,KH99.html, .1 ]PA-RI-DE • .2 ]A-SI-*118 .3 ]KU-KA-[
KH99,KU-KA,1,1,1,1,KH99.html,• .2 ]A-SI-*118 .3 ]KU-KA-[
KH99,PA-RI-DE,1,1,0,1,KH99.html,NUMBER FRACTION .1 ]PA-RI-DE • .2 ]A-SI-*118 .3 
KN2,RU-NA,1,1,0,1,KN2.html,NUMBER FRACTION .1 ]RU-NA 2 .2 *118 3 .2 I +*
KN22,KA-JE,1,1,1,1,KN22.html,U-TA [ ] 20 [ A.2 ] KA-JE-[ B ] PO-DI-PA 3 1 
KN22,MA-SU-MI,1,1,0,1,KN22.html,-DI-PA 3 1 10 C.1 ] MA-SU-MI • [•]-NA[ C.2 ] VES
KN22,PO-DI-PA,1,1,0,1,KN22.html,[ A.2 ] KA-JE-[ B ] PO-DI-PA 3 1 10 C.1 ] MA-SU-
KN22,SU-JU-TA,1,1,1,1,KN22.html,ATEMENT NUMBER A.1 ]SU-JU-TA [ ] 20 [ A.2 ] KA-J
KN32,A-KA-TA,1,0,1,1,KN32.html,LA A.1 ] A-PA-[ A.2 A-KA-TA[ INFRA MUTILA SUPRA
KN32,A-PA,1,1,1,1,KN32.html, SUPRA MUTILA A.1 ] A-PA-[ A.2 A-KA-TA[ INFR
KN32,JA-SU,1,1,0,1,KN32.html,SA-PU B.2 PA[ B.3 ]-JA-SU INFRA MUTILA
KN32,SA-PU,1,1,0,1,KN32.html,TILA B.1 ]TE[ B.2 ]-SA-PU B.2 PA[ B.3 ]-JA-SU
KN54,PU-RA,1,1,1,1,KN54.html,UMBER FRACTION .1 ] PU-RA-[ .2 ] VINC K [
KNWb33,NU-SE,1,0,1,1,KNWb33.html,IIIB) A: QA-KI [ B: NU-SE-[ G: SEAL IMPRESSIO
KNWb33,QA-KI,1,0,1,1,KNWb33.html, HOUSE; MM IIIB) A: QA-KI [ B: NU-SE-[ G: SEA
KNWc3,KA-I-KA,1,1,1,1,KNWc3.html,"RESSIONS, CMS II 8 ]KA-I-KA [ 2 IMPRESSIONS: NO"
KNWc30,JA-RA,1,1,0,1,KNWc30.html,"RESSIONS, CMS II 8 ]JA-RA 2 IMPRESSONS (DISC)"
KNZa10,DA-WA,2,0,2,2,KNZa10.html,A-SA-RA-MA-.B:-NA • DA-WA-[•]-DU-WA-TO • I-JA || JA-SA-SA-RA-MA-NA • DA-WA-[•]-DU-WA-TO • I-JA
KNZa10,DU-WA-TO,2,2,0,2,KNZa10.html,-.B:-NA • DA-WA-[•]-DU-WA-TO • I-JA[ .A-.B: ]-TA || A-MA-NA • DA-WA-[•]-DU-WA-TO • I-JA[; THE LAST W
KNZa10,I-JA,3,0,3,3,KNZa10.html,A-WA-[•]-DU-WA-TO • I-JA[ .A-.B: ]-TA-NU-MU- || A-WA-[•]-DU-WA-TO • I-JA[; THE LAST WORD MAY ||  WORD MAY HAVE BEEN I-JA[-PA-QE (CF. I-NA-JA
KNZa10,TA-NU-MU-TI,2,2,0,2,KNZa10.html,AS SUSPENDED. .A: ]-TA-NU-MU-TI • JA-SA-SA-RA-MA-.B || TO • I-JA[ .A-.B: ]-TA-NU-MU-TI • JA-SA-SA-RA-MA-NA
KNZa17,JA-QE,1,1,0,1,KNZa17.html,TINE (LOWER TOWN) ]-JA-QE • COMMENTARY © JOHN
KNZa18,JA-WA,1,0,1,1,KNZa18.html,]-JA • [• • •]-JA • JA-WA-[ ] [•][ COMMENTARY
KNZa19,*118-MI-NA,1,1,0,1,KNZa19.html,_ .2 (RETROGRADE): ]*118-MI-NA PALAIMA 1988: 313-1
KNZa19,KE-JU-MI,1,1,1,1,KNZa19.html,OF THE PALACE .1: ]-KE-JU-MI[ ][•][ ____________
KNZb20,NA-A-PA,1,1,0,1,KNZb20.html,"L, LM IA CONTEXT) ] NA-A-PA 3 COMMENTARY © JOHN"
KNZc6,I-ZU,1,1,0,1,KNZc6.html,-NA-PA-KU-NU-U [-•]-I-ZU • GORILA DRAWS BUT 
KNZc6,JU-KU-NA-PA-KU-NU-U,1,0,1,1,KNZc6.html,-PA-KU • NI-JA-NU • JU-KU-NA-PA-KU-NU-U [-•]-I-ZU • GORILA 
KNZc7,SIGN-GROUP,1,1,0,1,KNZc7.html,"A-NA-NE • WI-PI-[•] SIGN-GROUP 3, GORILA READS ZU "
