commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
HT3,KU-PA,1,1,0,0,0,0,physical_boundary,-RE 5 .5 DI [ .6 ]KU-PA 3-NU 3 [ .7 MA-DI
HT3,MA-DI,1,1,0,0,0,0,physical_boundary,SUPRA MUTILA .1 ] MA-DI 2 .1 ] DI-NA-[ .2
HT3,SI-TU-RA,1,1,0,0,0,0,physical_boundary,U-RU 1 .4 RU[ .5 ]SI-TU-RA 2-RE 5 .5 DI [ .6
HT30,OLE-TA,2,0,0,2,0,0,complex_logogram,OLE+TA {*615}
HT30,QA-PU,1,0,0,1,0,0,complex_logogram,QA +[?]+PU {*510}
HT31,*402V-AS-PA-TA-QE,1,0,0,1,0,0,complex_logogram,*402VAS+ PA-TA-QE
HT31,*402V-AS-QA-PA,1,0,0,1,0,0,complex_logogram,*402VAS+ QA-PA 3
HT31,*402V-AS-SU-PA-RA,1,0,0,1,0,0,complex_logogram,*402VAS+ SU-PA 3-RA
HT31,*415V-AS-SU-PU,1,0,0,1,0,0,complex_logogram,*415VAS+ SU-PU
HT31,*416V-AS-KA-RO-PA,1,0,0,1,0,0,complex_logogram,] *416VAS+ KA-RO-PA 3
HT31,TI-SA,1,1,0,0,0,0,physical_boundary,RAM NUMBER .1 [•]-TI-SA • PU-KO • *410VAS
HT31,VEST-*402V-AS,1,0,0,1,0,0,complex_logogram,VEST . *402VAS+ [ ]
HT32,MI-JA-RU,1,0,0,1,0,0,complex_logogram,MI + JA +RU {*550}
HT32,OLE-NE,2,0,0,2,0,0,complex_logogram,OLE+NE {*612} || OLE+NE[ {*612}
HT32,QA-PU,1,0,0,1,0,0,complex_logogram,QA +[?]+PU {*510}
HT32,QA-RE,1,0,0,1,0,0,complex_logogram,QA +[?]+ RE {*508}
HT33,*341-PI,1,0,0,1,0,0,complex_logogram,*341+PI {*646}
HT33,*401V-AS-*304,1,0,0,1,0,0,complex_logogram,*401VAS+*304 {*653}
HT33,E-KA,1,0,0,1,0,0,complex_logogram,E+KA {*526}
HT33,MI-JA-KA,1,0,0,1,0,0,complex_logogram,MI + JA +KA {*552}
HT33,PA-QE,1,0,0,1,0,0,complex_logogram,PA 3 +QE {*537}
HT33,QA-RE,1,0,0,1,0,0,complex_logogram,QA +[?]+ RE {*508}
HT33,QA-RE-PU,1,0,0,1,0,0,complex_logogram,] QA +[?]+ RE +PU {*509}
HT34,E-KA,1,0,0,1,0,0,complex_logogram,E+KA {*526}
HT34,MI-JA-KA,1,0,0,1,0,0,complex_logogram,MI + JA +KA {*552}[
HT34,MI-JA-RU,1,0,0,1,0,0,complex_logogram,MI-JA-RU {*550}
HT34,QA-PU,1,0,0,1,0,0,complex_logogram,QA +[?]+PU {*510}
HT34,QA-RE,1,0,0,1,0,0,complex_logogram,QA +[?]+ RE {*508}
HT34,SA-MU-KU,1,0,0,1,0,0,complex_logogram,SA-MU-KU {*521}
HT34,SI-I,1,0,0,1,0,0,complex_logogram,SI[ ]I+[?] {*516} •
HT35,MI-JA-RU,1,0,0,1,0,0,complex_logogram,MI + JA +RU {*550}
HT35,OLE-RI,1,0,0,1,0,0,complex_logogram,OLE+RI {*614}
HT35,OLE-TA,1,0,0,1,0,0,complex_logogram,OLE+TA {*615}[
HT35,QA-PU,1,0,0,1,0,0,complex_logogram,QA +[?]+PU {*510}
HT36,*307-*307-GRA-QE,1,0,0,1,0,0,complex_logogram,*307+*307 {*638} GRA+QE {*578}
HT37,MI-JA-I,1,0,0,1,0,0,complex_logogram,MI + JA +I {*551} •
HT37,RE-SU,1,1,0,0,0,0,physical_boundary,1 KA-KI • SU[ .2 ]RE-SU[ .2 ] VEST. [ .3
HT38,KA-A-*118,1,0,0,1,0,0,complex_logogram,KA+A {*554} *118
HT38,TELA-*312-TELA-KU,1,0,0,1,0,0,complex_logogram,TELA+*312 {TELA+KU; *536}
HT38,TELA-KU,1,0,0,1,0,0,complex_logogram,TELA+KU {*535}
HT39,*407V-AS-A,1,0,0,1,0,0,complex_logogram,*407VAS+A {*657}
HT39,KU-RE,1,1,0,0,0,0,physical_boundary,3 ]SA-MA-TI 10 .3 KU-RE [ .4 VACAT [ .5 ]
HT39,KU-RE-JU,1,1,0,0,0,0,physical_boundary,A-I-*123 10 [ .2 ]KU-RE-JU 8 .2 KU[ .3 ]SA-M
HT39,KU-RO,1,1,0,0,0,0,physical_boundary,[ .4 VACAT [ .5 ]KU-RO *407VAS+A {*657}
HT39,SA-MA-TI,1,1,0,0,0,0,physical_boundary,E-JU 8 .2 KU[ .3 ]SA-MA-TI 10 .3 KU-RE [ .4
HT4,*306-TI-KA-A-RE,1,1,0,0,0,0,physical_boundary,SUPRA MUTILA .1 ]-*306-TI-KA-A-RE [ .2 ]-DU-RI-TE 2
HT4,DU-RI-TE,1,1,0,0,0,0,physical_boundary,TI-KA-A-RE [ .2 ]-DU-RI-TE 2 .3 PA-RE[ .4 ]T
HT4,PA-RE,1,1,0,0,0,0,physical_boundary,2 ]-DU-RI-TE 2 .3 PA-RE[ .4 ]TA-PI-SI-DI
HT4,TA-PI-SI-DI,1,1,0,0,0,0,physical_boundary,E 2 .3 PA-RE[ .4 ]TA-PI-SI-DI 2
HT40,KU-RO,1,1,0,0,0,0,physical_boundary,TA • GRA[] 134 .3 KU-RO [ .4 ]KU[ INFRA M
HT41,QE-TU,1,1,0,0,0,0,physical_boundary,.1 ] VEST. [ A.2 ]QE-TU 10 A.3 *305 • *30
HT42,RE-TU,1,1,0,0,0,0,physical_boundary,.5 SU-DU[ .6-7 ]-RE-TU OLE+KI[ {*618} ]J
HT42,SI-SE,1,0,0,1,0,0,complex_logogram,• SI+SE {*529} • TE •
HT42,SU-DU,1,1,0,0,0,0,physical_boundary,LE+MI {*622} 2 .5 SU-DU[ .6-7 ]-RE-TU OLE
