side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
suffix,106,*164,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,107,*22F,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,108,*307,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,109,*342,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,110,*349,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,111,*802,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,112,*805,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,113,NWA,-1.641052,0,1,-1.641052,0,0,0,0,
suffix,114,*323,-2.378018,0,2,-2.378018,0,0,0,0,
suffix,115,AU,-2.378018,0,2,-2.378018,0,0,0,0,
suffix,116,*34,-3.756529,0,6,-3.756529,0,0,0,0,
